# x y V U
11.00 241.00 87.26 22.27
12.00 241.00 99.69 28.02
13.00 241.00 47.20 3.57
14.00 241.00 110.70 31.88
15.00 241.00 124.30 38.19
16.00 241.00 109.37 19.90
17.00 241.00 0.00 0.01
18.00 241.00 97.97 13.81
19.00 241.00 134.27 31.10
20.00 241.00 144.44 34.24
11.00 242.00 76.86 15.92
12.00 242.00 84.01 17.20
13.00 242.00 73.89 10.65
14.00 242.00 107.94 29.16
15.00 242.00 121.30 36.67
16.00 242.00 142.74 55.48
17.00 242.00 90.69 11.05
18.00 242.00 51.85 3.32
19.00 242.00 135.83 34.14
20.00 242.00 144.07 34.99
11.00 243.00 75.40 14.27
12.00 243.00 79.69 14.85
13.00 243.00 82.61 14.64
14.00 243.00 87.18 15.21
15.00 243.00 93.99 16.44
16.00 243.00 99.09 16.93
17.00 243.00 95.31 12.61
18.00 243.00 47.97 2.45
19.00 243.00 139.21 39.96
20.00 243.00 145.18 38.00
11.00 244.00 74.03 14.10
12.00 244.00 80.11 15.02
13.00 244.00 85.11 15.00
14.00 244.00 90.04 16.16
15.00 244.00 97.43 17.18
16.00 244.00 101.34 17.52
17.00 244.00 96.40 13.75
18.00 244.00 71.51 5.92
19.00 244.00 127.64 28.09
20.00 244.00 129.96 25.41
11.00 245.00 77.09 15.32
12.00 245.00 82.36 16.20
13.00 245.00 86.04 16.42
14.00 245.00 100.84 23.10
15.00 245.00 108.80 24.21
16.00 245.00 112.86 24.54
17.00 245.00 78.70 7.41
18.00 245.00 101.70 15.09
19.00 245.00 120.43 21.41
20.00 245.00 120.93 20.36
11.00 246.00 88.60 20.62
12.00 246.00 88.21 17.92
13.00 246.00 94.29 20.25
14.00 246.00 109.59 27.17
15.00 246.00 115.77 28.64
16.00 246.00 107.87 19.32
17.00 246.00 72.52 6.51
18.00 246.00 106.57 15.65
19.00 246.00 118.20 19.14
20.00 246.00 126.98 21.50
11.00 247.00 88.38 20.93
12.00 247.00 69.63 8.14
13.00 247.00 103.17 27.36
14.00 247.00 110.51 27.07
15.00 247.00 121.97 32.44
16.00 247.00 63.87 4.37
17.00 247.00 83.95 9.74
18.00 247.00 104.64 14.69
19.00 247.00 113.29 16.84
20.00 247.00 123.39 18.87
11.00 248.00 81.58 15.83
12.00 248.00 74.04 9.42
13.00 248.00 96.90 21.86
14.00 248.00 105.08 23.73
15.00 248.00 112.38 24.77
16.00 248.00 90.69 10.44
17.00 248.00 73.09 6.53
18.00 248.00 115.46 18.78
19.00 248.00 118.31 19.16
20.00 248.00 129.26 21.92
11.00 249.00 82.42 15.66
12.00 249.00 60.98 6.60
13.00 249.00 110.45 33.86
14.00 249.00 121.33 35.84
15.00 249.00 119.12 28.56
16.00 249.00 77.28 6.94
17.00 249.00 51.85 3.67
18.00 249.00 111.33 17.62
19.00 249.00 116.72 18.41
20.00 249.00 123.70 19.79
11.00 250.00 81.09 14.71
12.00 250.00 77.20 11.57
13.00 250.00 103.13 24.33
14.00 250.00 112.00 27.39
15.00 250.00 122.78 29.62
16.00 250.00 18.53 0.34
17.00 250.00 39.55 2.08
18.00 250.00 110.79 17.52
19.00 250.00 113.98 17.62
20.00 250.00 120.13 18.41
