X,Y,EC475Hz[mS/m]
20,0,0.160419
20,0.08,5133.46
20,0.16,765.444
20,0.24,0.184596
20,0.32,7313.68
20,0.4,507.992
20,0.48,0.186914
20,0.56,6324.58
20,0.64,1750.75
20,0.72,0.159296
20,0.8,5577.95
20,0.88,2493.77
20,0.96,0.191329
20,1.04,6749.81
20,1.12,417.148
20,1.2,0.185832
20,1.28,7309.36
20,1.36,352.433
20,1.44,0.184943
20,1.52,6924.68
20,1.6,425.165
20,1.68,0.161236
20,1.76,5823.46
20,1.84,452.591
20,1.92,0.160382
20,2,4712.89
20,2.08,261.727
20,2.16,0.187867
20,2.24,6662.7
20,2.32,220.017
20,2.4,0.187548
20,2.48,6090.16
20,2.56,21.5418
20,2.64,133.284
20,2.72,6512.16
20,2.8,0.178701
20,2.88,902.198
20,2.96,5414.52
20,3.04,216.704
20,3.12,985.394
20,3.2,4809.97
20,3.28,123.971
20,3.36,1275.13
20,3.44,4103.91
20,3.52,78.2759
20,3.6,0.177246
20,3.68,4621.03
20,3.76,51.797
20,3.84,670.189
20,3.92,3000.88
20,4,45.5638
20,4.08,1832.65
20,4.16,3832.63
20,4.24,5.59884
20,4.32,1975.74
20,4.4,3973.42
20,4.48,0.179433
20,4.56,1796.73
20,4.64,4802.33
20,4.72,1.45256
20,4.8,2468.83
20,4.88,3618.13
20,4.96,26.6167
20,5.04,2836.5
20,5.12,3054.8
20,5.2,22.2996
20,5.28,3025.57
20,5.36,2365.17
20,5.44,0.178616
20,5.52,1842.59
20,5.6,2248.55
20,5.68,0.163998
20,5.76,1603.66
20,5.84,1437.59
20,5.92,0.165547
20,6,3197.77
20,6.08,1754.08
20,6.16,0.181134
20,6.24,3211.61
20,6.32,2133.35
20,6.4,0.181219
20,6.48,3434.19
20,6.56,2713.71
20,6.64,523.274
20,6.72,3428.47
20,6.8,1850.85
20,6.88,0.177896
20,6.96,3393.73
20,7.04,1252.71
20,7.12,1.76565
20,7.2,2729.35
20,7.28,959.414
20,7.36,0.179545
20,7.44,3601.01
20,7.52,628.658
20,7.6,0.170895
20,7.68,1785.38
20,7.76,185.506
20,7.84,0.183058
20,7.92,3222.88
20,8,222.028
20,8.08,0.183336
20,8.16,3039.87
20,8.24,15.2188
20,8.32,0.183196
20,8.4,3671.9
20,8.48,1155.09
20,8.56,724.345
20,8.64,3663.2
20,8.72,449.611
20,8.8,774.6
20,8.88,3241
20,8.96,153.364
20,9.04,601.946
20,9.12,3223.87
20,9.2,112.807
20,9.28,0.180206
20,9.36,3347.54
20,9.44,51.893
20,9.52,65.1388
20,9.6,1964.63
20,9.68,52.831
20,9.76,616.022
20,9.84,2876.29
20,9.92,9.00418
20,10,1005.01
20,10.08,2480.54
20,10.16,5.51611
20,10.24,1340.04
20,10.32,3638.84
20,10.4,249.164
20,10.48,1611.1
20,10.56,3460.91
20,10.64,28.6545
20,10.72,1941.08
20,10.8,3165.85
20,10.88,35.9096
20,10.96,1634.86
20,11.04,2744.91
20,11.12,11.3164
20,11.2,1878.5
20,11.28,2749.57
20,11.36,7.90935
20,11.44,803.691
20,11.52,1774.39
20,11.6,1.57611
20,11.68,1679.11
20,11.76,2176.5
20,11.84,0.179201
20,11.92,2097.35
20,12,2011.19
20,12.08,0.179539
20,12.16,2236.74
20,12.24,2797.21
20,12.32,116.863
20,12.4,2240.27
20,12.48,2360.5
20,12.56,371.146
20,12.64,2438.3
20,12.72,1595.99
20,12.8,6.99831
20,12.88,2607.68
20,12.96,1474.17
20,13.04,0.179083
20,13.12,2378.1
20,13.2,1400.83
20,13.28,0.180305
20,13.36,1489.54
20,13.44,916.776
20,13.52,0.172018
20,13.6,2489.58
20,13.68,852.155
20,13.76,0.180331
20,13.84,3008.56
20,13.92,773.77
20,14,52.0969
20,14.08,2699.03
20,14.16,1025.66
20,14.24,226.931
20,14.32,2306.56
20,14.4,1866.52
20,14.48,1548
20,14.56,2641.43
20,14.64,114.384
20,14.72,517.065
20,14.8,2175.81
20,14.88,493.164
20,14.96,1319.51
20,15.04,1290.03
20,15.12,14.6747
20,15.2,499.238
20,15.28,1729.4
20,15.36,91.2849
20,15.44,616.185
20,15.52,1857.32
20,15.6,198.368
20,15.68,884.923
20,15.76,2361.6
20,15.84,222.495
20,15.92,847.438
20,16,2452.79
20,16.08,395.233
20,16.16,974.629
20,16.24,2484.56
20,16.32,1420.99
20,16.4,1325.12
